file,line,match,tag,snippet
components/ui/glass-surface.css,103,#007aff | #0a84ff,,outline: 2px solid light-dark(#007aff; #0a84ff);
components/ui/glass-surface.tsx,75,#0000,,<stop offset="0%" stop-color="#0000"/>
components/ui/glass-surface.tsx,79,#0000,,<stop offset="0%" stop-color="#0000"/>
components/ui/liquid-glass.tsx,18,#0F0,,<stop offset="0%" stop-color="#0F0"/>
components/ui/liquid-glass.tsx,19,#000,,<stop offset="100%" stop-color="#000"/>
components/ui/liquid-glass.tsx,22,#F00,,<stop offset="0%" stop-color="#F00"/>
components/ui/liquid-glass.tsx,23,#000,,<stop offset="100%" stop-color="#000"/>
components/ui/liquid-glass.tsx,26,#808080,,<rect width="${w}" height="${h}" fill="#808080"/>
components/ui/liquid-glass.tsx,28,#000080,,<rect width="${w}" height="${h}" fill="#000080"/>
components/ui/liquid-glass.tsx,33,#808080,,fill="#808080" rx="${r}" ry="${r}" filter="blur(${depth}px)"/>
components/ui/liquid-glass.tsx,107,rgba(255;255;255;0.12),,tint = "rgba(255;255;255;0.12)";
components/ui/liquid-glass.tsx,172,rgba(255;255;255;0.6),,inset 1px 1px 0 rgba(255;255;255;0.6);
components/ui/liquid-glass.tsx,173,rgba(255;255;255;0.15),,inset -1px -1px 0 rgba(255;255;255;0.15);
components/ui/liquid-glass.tsx,174,rgba(255;255;255;0.25),,inset 0 0 8px rgba(255;255;255;0.25)
components/ui/liquid-glass.tsx,176,rgba(255;255;255;0.35),,border: "0.5px solid rgba(255;255;255;0.35)";
components/ui/liquid-glass.tsx,225,rgba(255;255;255;0.5),,inset 1px 1px 0 rgba(255;255;255;0.5);
components/ui/liquid-glass.tsx,226,rgba(255;255;255;0.15),,inset 0 0 6px rgba(255;255;255;0.15)
components/ui/navigation-menu.tsx,95,hsl(38 25% 94%),,style={{ backgroundColor: 'hsl(38 25% 94%)' }}
components/ui/navigation-menu.tsx,103,hsl(38 25% 94%),,style={{ backgroundColor: 'hsl(38 25% 94%)' }}
components/ui/tiger-button.tsx,15,#231010 | #fbfcff | #535457,,primary: `${base} bg-[#231010] text-[#fbfcff] px-7 py-[15px] hover:bg-[#535457] hover:shadow-[0_4px_16px_rgba(0;0;0;0.16)]`;
components/ui/tiger-button.tsx,16,#231010 | #231010 | #231010 | #fbfcff,,secondary: `${base} border border-[#231010]/20 text-[#231010] px-7 py-[15px] hover:bg-[#231010] hover:text-[#fbfcff] hover:shadow-[0_4px_16px_rgba(0;0;0;0.16)]`;
components/ui/tiger-button.tsx,18,#fbfcff | #0e0e12 | #afb0b3,,inverse: `${base} bg-[#fbfcff] text-[#0e0e12] px-7 py-[15px] hover:bg-[#afb0b3] hover:shadow-[0_4px_16px_rgba(0;0;0;0.16)]`;
components/ui/tiger-button.tsx,19,#fbfcff | #fbfcff | #fbfcff | #fbfcff,,"outline-light": `${base} border border-[#fbfcff]/30 text-[#fbfcff] px-7 py-[15px] hover:bg-[#fbfcff]/10 hover:border-[#fbfcff]/50 hover:shadow-[0_4px_16px_rgba(0;0;0;0.16)]`;
public/home-2.html,15,#D5101F,,--red-600:#D5101F;  /* Audi Red (primary) */
public/home-2.html,16,#B50F1B,,--red-700:#B50F1B;  /* Hover/active */
public/home-2.html,17,#FFF5F6,,--red-050:#FFF5F6;  /* Tinted bg */
public/home-2.html,20,#A3A3A3,,--neutral-300:#A3A3A3;
public/home-2.html,47,#8F1017 | #5E0B10 | radial-gradient(120% 120% at 30% 30%; var(--red-600),,radial-gradient(120% 120% at 30% 30%; var(--red-600); #8F1017 60%; #5E0B10 100%);
public/home-2.html,50,#2B2B2B,,.menu{display:none;gap:24px;align-items:center;color:#2B2B2B;font-size:14px;font-family:'Archivo';font-weight:300;letter-spacing:0.3px}
public/home-2.html,61,rgba(213;16;31;.25),,.btn.primary:hover{box-shadow:0 12px 32px rgba(213;16;31;.25)}
